Feature,Importance
Roles_freq_mean,0.4046749274924455
SmoothedRisk_avg,0.306287261419057
GeoLoc_freq_avg,0.08206353209882243
ResourceType_freq_mean,0.08161342851574246
LastVerdict_freq_mean,0.06444406630617466
Category_freq_mean,0.02650804813439192
Duration_seconds,0.01031140611962805
T1078_sum,0.0049930866195910285
NumEvidences,0.0037587291840606614
EntityType_freq_mean,0.00353890061887498
NumAlerts,0.003128062194516152
SuspicionLevel_Missing_sum,0.002398577342265767
weekday_get_mode,0.0013836911601121118
IsWeekend_max,0.0008484093680119213
SuspicionLevel_Suspicious_sum,0.0007686771167675284
T1566_sum,0.0007314876822556597
EvidenceRole_Related_sum,0.000682934653030468
Hour_Last,0.0005319562917294087
AntispamDirection_freq_mean,0.000492331756167521
Hour_First,0.00031246949155180616
Hour_Avg,0.0002627077602440596
ThreatFamily_freq_mean,0.0001805741474316905
T1110_sum,8.436505436455562e-05
T1046_sum,3.6947276252908695e-07
ActionGrouped_freq_mean,0.0
T1008_sum,0.0
T1048_sum,0.0
T1012_sum,0.0
T1027_sum,0.0
T1105_sum,0.0
T1003_sum,0.0
T1030_sum,0.0
T1106_sum,0.0
T1568_sum,0.0
T1133_sum,0.0
T1559_sum,0.0
month_get_mode,0.0
T1098_sum,0.0
T1190_sum,0.0
T1087_sum,0.0
ActionGranular_freq_mean,0.0
T1071_sum,0.0
T1210_sum,0.0
