Feature,Importance
OrgId_first,0.2325364
DetectorId_get_mode,0.17032468
NumAlerts,0.12120209
NumEvidences,0.10937122
NumWithSuspicion,0.073218204
NumWithVerdict,0.07194512
Category_get_mode,0.06525769
NumEntityTypes,0.030067772
Duration_seconds,0.026694551
Hour_Last,0.021633172
IsWeekend_max,0.013821859
DayOfWeek_get_mode,0.012057142
NumEvidenceRoles,0.009116799
Hour_First,0.008040278
Hour_Avg,0.007064117
MITRE_unknown_sum,0.00479358
MITRE_T1110_sum,0.0043153944
MITRE_T1059_sum,0.0042841486
MITRE_T1078_sum,0.0038496517
MITRE_T1566_sum,0.0037934997
MITRE_n_rare_sum,0.003619779
MITRE_T1003_sum,0.0029928663
