Feature,XGBoost,RandomForest,Ensemble_Avg
ResourceType_freq_mean,0.33065363363161104,0.07500603433687633,0.2028298339842437
ActionGranular_freq_mean,0.2461446452592541,0.07986336956727934,0.16300400741326673
SmoothedRisk_avg,0.032188449380050464,0.2773466592657333,0.15476755432289188
ActionGrouped_freq_mean,0.23061061555843954,0.06945755994870301,0.15003408775357127
Roles_freq_mean,0.05330335197337744,0.09842966383296477,0.07586650790317111
ThreatFamily_freq_mean,0.011508062278354719,0.07151067535372803,0.04150936881604137
AntispamDirection_freq_mean,0.0048003321075456035,0.049428428976884986,0.027114380542215294
EntityType_freq_mean,0.003623362330214041,0.049790736126266784,0.026707049228240413
GeoLoc_freq_avg,0.00989996680932664,0.04329710839551357,0.026598537602420105
LastVerdict_freq_mean,0.00973912981242436,0.02820405197649055,0.018971590894457456
Category_freq_mean,0.0035477408316705113,0.031518084801032756,0.017532912816351633
T1078_sum,0.019660709621334732,0.014650398585584224,0.017155554103459477
NumEvidences,0.002739775947231915,0.022220855408151337,0.012480315677691626
SuspicionLevel_Missing_sum,0.003513062932338408,0.020312155357153135,0.011912609144745772
EvidenceRole_Related_sum,0.0021247616590770904,0.01929828549232613,0.01071152357570161
Duration_seconds,0.002377577054207866,0.010663797828652717,0.0065206874414302915
SuspicionLevel_Suspicious_sum,0.0023370885549876745,0.006850124860106111,0.004593606707546893
NumAlerts,0.001550095170145167,0.005743838408362709,0.003646966789253938
Hour_Last,0.0007536046154855751,0.005419940981436209,0.0030867727984608922
T1566_sum,0.0028081524459149837,0.0026742522861274045,0.002741202366021194
Hour_Avg,0.0007522882555109282,0.004672249123804807,0.0027122686896578676
weekday_get_mode,0.0012274456763593962,0.004139922084331307,0.0026836838803453514
Hour_First,0.0005659042891006834,0.0042547545058667065,0.002410329397483695
IsWeekend_max,0.0014654618717752043,0.002244733082785304,0.001855097477280254
T1106_sum,0.002753656746964571,0.0002735395843190004,0.0015135981656417858
T1046_sum,0.0024699021524296843,0.0001848062193608003,0.0013273541858952423
T1110_sum,0.0013627481737534702,0.0011054147874809018,0.001234081480617186
month_get_mode,0.0014688313717103078,0.0002832662337891005,0.0008760488027497041
T1559_sum,0.0013808571734046907,0.0001837771362731003,0.0007823171548388954
T1012_sum,0.0014104469728347913,0.00011316600800200019,0.0007618064904183957
T1210_sum,0.0014260346725345722,6.873527400471e-05,0.0007473849732696411
T1008_sum,0.0013903632732216033,3.9498046893990813e-05,0.0007149306600577971
T1048_sum,0.001161276477633815,5.05413858485858e-05,0.0006059089317412004
T1003_sum,0.0009667473813804455,0.00014108190881310026,0.0005539146450967728
T1568_sum,0.0008784258230815186,4.4511011766424126e-05,0.00046146841742397135
T1087_sum,0.0005820150887903894,0.00031580566751480054,0.00044891037815259497
T1071_sum,0.0007055387864113229,0.00010288303389620018,0.00040421091015376156
T1190_sum,0.0007736768850989832,1.540833723553692e-05,0.00039454261116726003
T1098_sum,0.0007247242860418103,4.593097153737282e-05,0.00038532762878959155
T1030_sum,0.0007667868452316853,8.040500887003948e-07,0.00038379544766019286
T1133_sum,0.0007276697859850799,8.87840166831817e-06,0.00036827409382669905
T1027_sum,0.0006882351467445911,6.117720760535879e-06,0.00034717643375256353
T1105_sum,0.0004668448910085674,1.8153634585361754e-05,0.00024249926279696458
