Feature,Importance
SmoothedRisk_avg,0.4869635549393251
EntityType_freq_mean,0.07947093779501505
NumEvidences,0.051664047752652834
Roles_freq_mean,0.04911699038933074
GeoLoc_freq_avg,0.04891755834315778
Category_freq_mean,0.042652084030303655
SuspicionLevel_Missing_sum,0.038575891680013276
EvidenceRole_Related_sum,0.0369302317723971
T1078_sum,0.030899240390167698
LastVerdict_freq_mean,0.028407903097525274
Duration_seconds,0.01750155270356221
AntispamDirection_freq_mean,0.012662663825657056
SuspicionLevel_Suspicious_sum,0.010957336731769669
Hour_Last,0.009930696235302143
Hour_First,0.009772634632697433
NumAlerts,0.009476632364227163
Hour_Avg,0.007750910753660359
T1566_sum,0.007592356739116778
weekday_get_mode,0.007318083557695344
IsWeekend_max,0.004219369411606655
ThreatFamily_freq_mean,0.0029513900791379496
T1110_sum,0.0016788343624906043
month_get_mode,0.00058440586766583
T1087_sum,0.0005232460929642206
T1046_sum,0.00043018467721360395
T1559_sum,0.0003630663016716299
ActionGranular_freq_mean,0.0003467753025737937
ActionGrouped_freq_mean,0.000345514371686255
T1106_sum,0.00034325542356823614
T1003_sum,0.00027758611978700954
T1012_sum,0.00024974154542810133
T1008_sum,0.00021759485793647205
ResourceType_freq_mean,0.00021096853313529615
T1071_sum,0.00020506422784292286
T1048_sum,0.00013257122138673363
T1568_sum,0.00012662311564257087
T1210_sum,0.0001044820283354024
T1098_sum,6.338193943651401e-05
T1133_sum,3.0473405386720274e-05
T1190_sum,1.6229825623589274e-05
T1027_sum,9.95504945952427e-06
T1105_sum,7.97850644359761e-06
T1030_sum,0.0
