Feature,Importance
NumWithVerdict,0.2555391
Category_get_mode,0.22398055
NumEvidences,0.11991073
NumWithSuspicion,0.059026606
NumAlerts,0.056636207
Hour_Last,0.045081843
DayOfWeek_get_mode,0.035146046
NumEntityTypes,0.034186598
IsWeekend_max,0.030993627
Hour_First,0.022791091
Duration_seconds,0.019716239
Hour_Avg,0.018053392
NumEvidenceRoles,0.015594117
MITRE_unknown_sum,0.012236063
MITRE_T1566_sum,0.009782039
MITRE_T1078_sum,0.009737851
MITRE_T1110_sum,0.00893656
MITRE_T1059_sum,0.007843484
MITRE_n_rare_sum,0.007548553
MITRE_T1003_sum,0.007259359
