Feature,Importance
ResourceType_freq_mean,0.42236367
ActionGrouped_freq_mean,0.15941103
ActionGranular_freq_mean,0.12616307
ThreatFamily_freq_mean,0.10552038
SmoothedRisk_avg,0.04694491
T1078_sum,0.035482388
LastVerdict_freq_mean,0.011511485
GeoLoc_freq_avg,0.010636066
Roles_freq_mean,0.010155623
EvidenceRole_Related_sum,0.006627111
EntityType_freq_mean,0.0054215454
Category_freq_mean,0.005087454
SuspicionLevel_Missing_sum,0.0046813795
Duration_seconds,0.0037087835
AntispamDirection_freq_mean,0.0036957327
T1046_sum,0.003100592
NumEvidences,0.002893373
T1106_sum,0.0026492097
SuspicionLevel_Suspicious_sum,0.0026334368
T1566_sum,0.0022764062
month_get_mode,0.0020122523
IsWeekend_max,0.001930006
T1008_sum,0.0018781931
T1110_sum,0.0018172213
NumAlerts,0.0017685804
T1559_sum,0.0017638607
weekday_get_mode,0.0016756442
T1133_sum,0.0014663661
T1003_sum,0.001322886
T1568_sum,0.001314238
T1048_sum,0.0012929006
T1012_sum,0.0012817418
T1098_sum,0.0012461618
T1190_sum,0.0010889418
Hour_Avg,0.0009636108
T1027_sum,0.0009197669
Hour_Last,0.00091165304
T1210_sum,0.0009115971
T1071_sum,0.0007981593
T1105_sum,0.0007398094
Hour_First,0.0006766809
T1030_sum,0.00063533016
T1087_sum,0.0006208139
