Feature,Importance
ResourceType_freq_mean,0.33065364
ActionGranular_freq_mean,0.24614465
ActionGrouped_freq_mean,0.23061062
Roles_freq_mean,0.053303353
SmoothedRisk_avg,0.03218845
T1078_sum,0.01966071
ThreatFamily_freq_mean,0.0115080625
GeoLoc_freq_avg,0.009899967
LastVerdict_freq_mean,0.00973913
AntispamDirection_freq_mean,0.0048003322
EntityType_freq_mean,0.0036233624
Category_freq_mean,0.0035477409
SuspicionLevel_Missing_sum,0.003513063
T1566_sum,0.0028081525
T1106_sum,0.0027536568
NumEvidences,0.002739776
T1046_sum,0.0024699022
Duration_seconds,0.0023775771
SuspicionLevel_Suspicious_sum,0.0023370886
EvidenceRole_Related_sum,0.0021247617
NumAlerts,0.0015500952
month_get_mode,0.0014688314
IsWeekend_max,0.0014654619
T1210_sum,0.0014260347
T1012_sum,0.001410447
T1008_sum,0.0013903633
T1559_sum,0.0013808572
T1110_sum,0.0013627482
weekday_get_mode,0.0012274457
T1048_sum,0.0011612765
T1003_sum,0.0009667474
T1568_sum,0.00087842584
T1190_sum,0.0007736769
T1030_sum,0.00076678686
Hour_Last,0.00075360463
Hour_Avg,0.00075228827
T1133_sum,0.0007276698
T1098_sum,0.0007247243
T1071_sum,0.0007055388
T1027_sum,0.00068823516
T1087_sum,0.0005820151
Hour_First,0.0005659043
T1105_sum,0.0004668449
